weight_kg,height_cm,age,is_male,kcal_per_shift,meal_target_kcal,calories,protein,carbs,fat,cal_diff_ratio,soft_penalty,pref_bonus,macro_score,cat_garnish,cat_protein,cat_side,caffeine,dairy,diet,fiber,fish,fruit,gluten,gluten_free,high_fat,hot,iron,low_cal,pork,poultry,probiotic,processed,red_meat,sweet,veg
104.6,162.3,33,1,1900,1330.13125,130,4.5,28.0,2.0,0.70679585191311,0.0,0.0,0.8846153846153846,True,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104.6,162.3,33,1,1900,1330.13125,130,2.5,28.0,0.5,0.70679585191311,0.0,0.0,0.8692307692307693,True,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104.6,162.3,33,1,1900,1330.13125,150,5.0,30.0,1.0,0.6616875214382039,0.2,0.0,0.8833333333333333,True,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
104.6,162.3,33,1,1900,1330.13125,110,2.5,18.0,3.0,0.7519041823880162,0.0,0.0,0.8727272727272728,True,False,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104.6,162.3,33,1,1900,1330.13125,70,2.0,10.0,3.0,0.8421208433378284,0.0,0.0,0.8785714285714286,True,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
104.6,162.3,33,1,1900,1330.13125,220,18.0,8.0,12.0,0.5038083647760324,0.0,0.0,0.9318181818181819,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104.6,162.3,33,1,1900,1330.13125,160,30.0,0.0,3.0,0.6391333562007508,0.0,0.0,0.9625,False,True,False,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104.6,162.3,33,1,1900,1330.13125,280,25.0,2.0,20.0,0.368483373351314,0.0,0.0,0.9392857142857143,False,True,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
104.6,162.3,33,1,1900,1330.13125,290,12.0,3.0,26.0,0.3459292081138609,0.0,0.0,0.8913793103448275,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
104.6,162.3,33,1,1900,1330.13125,140,22.0,0.0,4.0,0.684241686675657,0.2,0.0,0.9928571428571429,False,True,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
